Asset,Period,ACF(1) r²,Kurtosis,ARCH-LM p-value
S&P500,Pre-COVID,0.546,4.096,0.0
S&P500,Post-COVID,0.144,2.552,0.0
Eurostoxx 50,Pre-COVID,0.105,2.58,0.0
Eurostoxx 50,Post-COVID,0.144,2.882,0.0
Hang Seng,Pre-COVID,0.103,1.943,0.0
Hang Seng,Post-COVID,0.085,1.901,0.0002
MSCI EM,Pre-COVID,0.135,1.893,0.0
MSCI EM,Post-COVID,0.202,2.019,0.0
SMI,Pre-COVID,0.232,2.785,0.0
SMI,Post-COVID,0.475,2.497,0.0
Oil futures,Pre-COVID,0.376,3.092,0.0
Oil futures,Post-COVID,0.266,5.348,0.0
Gold,Pre-COVID,0.167,2.337,0.0
Gold,Post-COVID,0.103,2.533,0.0
EURUSD,Pre-COVID,0.13,1.571,0.0
EURUSD,Post-COVID,0.148,1.268,0.0
USDJPY,Pre-COVID,0.134,2.453,0.0
USDJPY,Post-COVID,0.082,2.142,0.0
US IG Bonds,Pre-COVID,0.481,1.694,0.0
US IG Bonds,Post-COVID,0.177,1.32,0.0
US HY Bonds,Pre-COVID,0.23,5.912,0.0
US HY Bonds,Post-COVID,0.245,4.654,0.0
USDCHF,Pre-COVID,0.013,2.458,0.9869
USDCHF,Post-COVID,0.109,1.464,0.0
