Asset,Period,omega (x1e4),alpha,gamma,beta,Persistence (a+g/2+b),half-life (days),LR vs GARCH,p-value (gamma=0),Asymmetry significant
S&P500,Pre-COVID,0.0403,0.12,0.0514,0.7951,0.9408,11.4,38.769,0.0,Yes
S&P500,Post-COVID,0.0515,0.0916,0.0393,0.8333,0.9445,12.1,12.035,0.0005,Yes
Eurostoxx 50,Pre-COVID,0.0404,0.0749,0.0321,0.877,0.9679,21.2,34.614,0.0,Yes
Eurostoxx 50,Post-COVID,0.0945,0.12,0.0514,0.7721,0.9178,8.1,18.786,0.0,Yes
Hang Seng,Pre-COVID,0.0247,0.0329,0.0141,0.9374,0.9774,30.3,16.905,0.0,Yes
Hang Seng,Post-COVID,0.0777,0.0429,0.0184,0.9114,0.9635,18.6,0.205,0.6505,No
MSCI EM,Pre-COVID,0.0249,0.062,0.0266,0.8934,0.9688,21.8,27.953,0.0,Yes
MSCI EM,Post-COVID,0.116,0.1168,0.05,0.7423,0.8841,5.6,17.325,0.0,Yes
SMI,Pre-COVID,0.0393,0.1166,0.061,0.8141,0.9612,17.5,46.522,0.0,Yes
SMI,Post-COVID,0.0513,0.1166,0.0941,0.7728,0.9365,10.6,28.821,0.0,Yes
